AppID,Name,Release date,Estimated owners,Price,Supported languages,Metacritic score,User score,Achievements,Publishers,Developers,Categories,Genres,Tags
897820,Reigns: Game of Thrones,"Oct 18, 2018",75000,3.99,"['English', 'French', 'German', 'Spanish - Spain', 'Italian', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",84,0,10,Devolver Digital,Nerial,"Single-player,Steam Achievements,Full controller support","Adventure,Indie,RPG","RPG,Indie,Card Game,Adventure,Choices Matter,2D,Medieval,Singleplayer,Minimalist,Choose Your Own Adventure,Strategy,Story Rich,Dark Humor,Great Soundtrack,Difficult,Dark Comedy,Funny,Comedy,Cute"
12140,Max Payne,"Jan 6, 2011",750000,3.49,['English'],89,0,0,Rockstar Games,Remedy Entertainment,Single-player,Action,"Action,Noir,Classic,Third-Person Shooter,Bullet Time,Story Rich,Atmospheric,Dark,Third Person,Singleplayer,Shooter,Great Soundtrack,Detective,Cinematic,Linear,Crime,Violent,Adventure,Horror,Psychological Horror"
457140,Oxygen Not Included,"Jul 30, 2019",3500000,24.99,"['English', 'Simplified Chinese', 'Korean', 'Russian']",86,0,45,Klei Entertainment,Klei Entertainment,"Single-player,Steam Trading Cards","Indie,Simulation","Colony Sim,Base-Building,Survival,Resource Management,Building,Singleplayer,Management,Simulation,2D,Sandbox,Strategy,Space,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Early Access,Multiplayer"
1345820,Ragnarock,"Jul 15, 2021",75000,16.24,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",87,0,11,WanadevStudio,WanadevStudio,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements","Casual,Indie,Racing,Sports","Rhythm,VR,Multiplayer,Music,Racing,PvP,Casual,Arcade,Mythology,Naval,First-Person,Stylized,Rock Music,Sports,Atmospheric,Indie,Soundtrack,Singleplayer,Colorful,Vikings,VR Only"
7940,Call of Duty® 4: Modern Warfare®,"Nov 12, 2007",1500000,9.99,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",92,0,0,Activision,Infinity Ward,"Single-player,Multi-player",Action,"FPS,Action,Multiplayer,Shooter,Singleplayer,First-Person,Classic,Military,War,PvP,Great Soundtrack,Linear,Story Rich,Modern,Co-op,Atmospheric,Controller,Moddable,Competitive,Zombies"
761910,Worbital,"Jan 31, 2019",10000,12.99,"['English', 'French', 'Spanish - Spain', 'Finnish', 'German']",76,0,43,"Team Jolly Roger,Advanced Interactive Gaming",Team Jolly Roger,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together","Action,Indie,Strategy","Action RTS,PvP,Multiplayer,Singleplayer,Local Multiplayer,Co-op,2D,Local Co-Op,Space,Online Co-Op,RTS,Sci-fi,Indie,Action,Destruction,Strategy,Family Friendly,Physics,Tactical,Funny"
748490,The Legend of Heroes: Trails of Cold Steel II,"Feb 14, 2018",75000,39.99,"['English', 'Japanese']",81,0,51,"XSEED Games,Marvelous USA, Inc.",Nihon Falcom,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",RPG,"JRPG,RPG,Anime,Story Rich,Great Soundtrack,Turn-Based,Singleplayer,Mechs,Fantasy,Romance,Turn-Based Combat,Adventure"
3010,Xpand Rally,"Aug 24, 2006",35000,4.99,['English'],82,0,0,Techland,Techland,"Single-player,Multi-player",Racing,"Racing,Driving,Automobile Sim,Physics,3D,Economy,Multiplayer,Singleplayer,Offroad"
237430,Expeditions: Conquistador,"May 30, 2013",150000,19.99,"['English', 'Spanish - Spain', 'Italian', 'German', 'Russian']",77,0,60,THQ Nordic,Logic Artists,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Strategy","RPG,Strategy,Turn-Based,Indie,Turn-Based Strategy,Historical,Exploration,Tactical,Isometric,Story Rich,Turn-Based Combat,Multiple Endings,CRPG,Survival,Adventure,Singleplayer,Kickstarter,Hex Grid,Character Customization,Choices Matter"
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"Jul 18, 2016",1500000,19.99,"['English', 'Japanese']",79,0,51,D3PUBLISHER,SANDLOT,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Action,"Action,Third-Person Shooter,Co-op,Aliens,Online Co-Op,Mechs,Sci-fi,Local Co-Op,Anime,Split Screen,Funny,Multiplayer,Shooter,Robots,Destruction,Comedy,Difficult,Singleplayer,Memes,Gore"
1127500,Mini Motorways,"Jul 20, 2021",350000,9.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",87,0,90,Dinosaur Polo Club,Dinosaur Polo Club,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards","Casual,Indie,Simulation,Strategy","Casual,Simulation,Strategy,Indie,Management,Puzzle,Minimalist,Relaxing,Building,Singleplayer,Transportation,Stylized,Top-Down,Beautiful,City Builder,Great Soundtrack,Family Friendly,Resource Management,Multiplayer"
1471960,Room to Grow,"Feb 25, 2021",10000,9.99,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Japanese', 'Polish', 'Vietnamese', 'Arabic', 'Czech']",76,0,0,Mischka Kamener,Mischka Kamener,"Single-player,Full controller support,Steam Cloud,Remote Play on TV","Casual,Indie,Strategy","Puzzle,Difficult,Indie,Singleplayer,Sokoban,Casual,Cute,Strategy,2D,Relaxing,Stylized,Logic"
559210,Rakuen,"May 10, 2017",150000,9.99,"['English', 'Italian', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'German', 'Hungarian', 'Turkish', 'Vietnamese', 'Ukrainian']",84,0,15,Laura Shigihara,Laura Shigihara,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie,RPG","Story Rich,Indie,Pixel Graphics,Great Soundtrack,Adventure,RPGMaker,RPG,Emotional,Cute,Puzzle,Singleplayer,2D,Anime,Fantasy,Atmospheric,Horror,Colorful,Family Friendly,Psychological Horror"
