id,generation,name,description,type1,type2,abilities,weight_kg,height_m,capture_rate,is_legendary,capture_date
1,1,Bulbasaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",6.9,0.7,45,0,05/01/1996
2,1,Ivysaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",13.0,1.0,45,0,08/10/1996
3,1,Venusaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",100.0,2.0,45,0,12/01/1996
4,1,Charmander,Lizard Pokémon,fire,,"['Blaze', 'Solar Power']",8.5,0.6,45,0,04/12/1996
5,1,Charmeleon,Flame Pokémon,fire,,"['Blaze', 'Solar Power']",19.0,1.1,45,0,06/03/1996
6,1,Charizard,Flame Pokémon,fire,flying,"['Blaze', 'Solar Power']",90.5,1.7,45,0,20/12/1996
7,1,Squirtle,Tiny Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",9.0,0.5,45,0,25/01/1996
8,1,Wartortle,Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",22.5,1.0,45,0,20/12/1996
9,1,Blastoise,Shellfish Pokémon,water,,"['Torrent', 'Rain Dish']",85.5,1.6,45,0,08/09/1996
10,1,Caterpie,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",2.9,0.3,255,0,24/08/1996
11,1,Metapod,Cocoon Pokémon,bug,,"['Shed Skin']",9.9,0.7,120,0,17/05/1996
12,1,Butterfree,Butterfly Pokémon,bug,flying,"['Compoundeyes', 'Tinted Lens']",32.0,1.1,45,0,14/10/1996
13,1,Weedle,Hairy Pokémon,bug,poison,"['Shield Dust', 'Run Away']",3.2,0.3,255,0,23/12/1996
14,1,Kakuna,Cocoon Pokémon,bug,poison,"['Shed Skin']",10.0,0.6,120,0,06/12/1996
15,1,Beedrill,Poison Bee Pokémon,bug,poison,"['Swarm', 'Sniper']",29.5,1.0,45,0,09/08/1996
16,1,Pidgey,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1.8,0.3,255,0,07/08/1996
17,1,Pidgeotto,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",30.0,1.1,120,0,28/11/1996
18,1,Pidgeot,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",39.5,1.5,45,0,18/10/1996
19,1,Rattata,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,255,0,20/12/1996
20,1,Raticate,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",,,127,0,23/11/1996
21,1,Spearow,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Sniper']",2.0,0.3,255,0,18/10/1996
22,1,Fearow,Beak Pokémon,normal,flying,"['Keen Eye', 'Sniper']",38.0,1.2,90,0,31/07/1996
23,1,Ekans,Snake Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",6.9,2.0,255,0,04/12/1996
24,1,Arbok,Cobra Pokémon,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",65.0,3.5,90,0,28/01/1996
25,1,Pikachu,Mouse Pokémon,electric,,"['Static', 'Lightningrod']",6.0,0.4,190,0,12/09/1996
26,1,Raichu,Mouse Pokémon,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",,,75,0,03/10/1996
27,1,Sandshrew,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,255,0,20/08/1996
28,1,Sandslash,Mouse Pokémon,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",,,90,0,15/02/1996
29,1,Nidoran♀,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",7.0,0.4,235,0,08/10/1996
30,1,Nidorina,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",20.0,0.8,120,0,11/01/1996
31,1,Nidoqueen,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",60.0,1.3,45,0,09/04/1996
32,1,Nidoran♂,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",9.0,0.5,235,0,30/01/1996
33,1,Nidorino,Poison Pin Pokémon,poison,,"['Poison Point', 'Rivalry', 'Hustle']",19.5,0.9,120,0,23/05/1996
34,1,Nidoking,Drill Pokémon,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",62.0,1.4,45,0,23/07/1996
35,1,Clefairy,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",7.5,0.6,150,0,17/01/1996
36,1,Clefable,Fairy Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",40.0,1.3,25,0,19/04/1996
37,1,Vulpix,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,190,0,02/04/1996
38,1,Ninetales,Fox Pokémon,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",,,75,0,20/05/1996
39,1,Jigglypuff,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",5.5,0.5,170,0,27/06/1996
40,1,Wigglytuff,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",12.0,1.0,50,0,03/02/1996
41,1,Zubat,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",7.5,0.8,255,0,06/09/1996
42,1,Golbat,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",55.0,1.6,90,0,03/10/1996
43,1,Oddish,Weed Pokémon,grass,poison,"['Chlorophyll', 'Run Away']",5.4,0.5,255,0,31/03/1996
44,1,Gloom,Weed Pokémon,grass,poison,"['Chlorophyll', 'Stench']",8.6,0.8,120,0,11/07/1996
45,1,Vileplume,Flower Pokémon,grass,poison,"['Chlorophyll', 'Effect Spore']",18.6,1.2,45,0,27/02/1996
