id;name;alternate_names;house;ancestry;species;patronus;hogwartsStaff;hogwartsStudent;actorName;alive;alternate_actors;dateOfBirth;yearOfBirth;eyeColour;gender;hairColour;wizard
9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8;Harry Potter;['The Boy Who Lived', 'The Chosen One', 'Undesirable No. 1', 'Potty'];Gryffindor;half-blood;human;stag;FALSO;VERDADEIRO;Daniel Radcliffe;VERDADEIRO;[];31-07-1980;1980;green;male;black;VERDADEIRO
4c7e6819-a91a-45b2-a454-f931e4a7cce3;Hermione Granger;['Hermy', 'Know-it-all', 'Miss Grant', 'Herm-own-ninny'];Gryffindor;muggleborn;human;otter;FALSO;VERDADEIRO;Emma Watson;VERDADEIRO;[];19-09-1979;1979;brown;female;brown;VERDADEIRO
c3b1f9a5-b87b-48bf-b00d-95b093ea6390;Ron Weasley;['Dragomir Despard', 'Ronald', 'Ickle Ronniekins', 'Ronnie', 'Wheezy', 'Won-Won', 'Roonil Wazlib'];Gryffindor;pure-blood;human;Jack Russell terrier;FALSO;VERDADEIRO;Rupert Grint;VERDADEIRO;[];01-03-1980;1980;blue;male;red;VERDADEIRO
af95bd8a-dfae-45bb-bc69-533860d34129;Draco Malfoy;[];Slytherin;pure-blood;human;Jack Russell terrier;FALSO;VERDADEIRO;Tom Felton;VERDADEIRO;[];05-06-1980;1980;grey;male;blonde;VERDADEIRO
ca3827f0-375a-4891-aaa5-f5e8a5bad225;Minerva McGonagall;[];Gryffindor;half-blood;human;tabby cat;VERDADEIRO;FALSO;Dame Maggie Smith;VERDADEIRO;[];04-10-1925;1925;grey;female;black;VERDADEIRO
d5c4daa3-c726-426a-aa98-fb40f3fba816;Cedric Diggory;[];Hufflepuff;half-blood;human;;FALSO;VERDADEIRO;Robert Pattinson;FALSO;[];04-10-1925;1977;grey;male;brown;VERDADEIRO
8f9aa40b-5d7c-441e-ad32-4564ecda3b70;Cho Chang;[];Ravenclaw;half-blood;human;swan;FALSO;VERDADEIRO;Katie Leung;VERDADEIRO;[];07-04-1979;1979;brown;female;black;VERDADEIRO
3569d265-bd27-44d8-88e8-82fb0a848374;Severus Snape;['Half-Blood Prince', 'Snivellus', 'Sev'];Slytherin;half-blood;human;doe;VERDADEIRO;FALSO;Alan Rickman;FALSO;[];09-01-1960;1960;black;male;black;VERDADEIRO
36bfefd0-e0bb-4d11-be98-d1ef6117a77a;Rubeus Hagrid;['Professor Hagrid', 'Hagger'];Gryffindor;half-blood;half-giant;;VERDADEIRO;FALSO;Robbie Coltrane;VERDADEIRO;[];06-12-1928;1928;black;male;black;VERDADEIRO
3db6dc51-b461-4fa4-a6e4-b1ff352221c5;Neville Longbottom;[];Gryffindor;pure-blood;human;Non-Corporeal;FALSO;VERDADEIRO;Matthew Lewis;VERDADEIRO;[];30-07-1980;1980;black;male;blonde;VERDADEIRO
